url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Servicio,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Superficie Balcones,Propiedad Horizontal,Seguridad,Piscina,Gastos Comúnes,Altura,Aptos por piso,Disposición,Muebles,Patio,Pisos Edificio,Lavadero,Piso
https://www.casasymas.com.uy/propiedad/169046-proximo-a-millan-y-micenas-padron-unico-en-1-planta,U$S 248.000Venta,3,2,255 m²,90m²,255m²,Dormitorios de Servicio: 2,Dormitorios en Suite: 1,Cochera: 1,Parrillero,Hogar,Oeste,1,Cocina Definida,1923,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183266-casa-en-venta-de-4-dormitorios-en-carrasco-montevideo,U$S 850.000Venta,4,3,429 m²,256m²,429m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 4,,,,,Cocina Definida,2005,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190147-hermosa-casa-3-dorm-reciclada,U$S 298.000Venta,3,3,230 m²,177m²,230m²,,,Garaje: 1,Parrillero,Hogar,,2,Cocina Definida,1958,Jardín,,40m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/940-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-montevideo,U$S 380.000Venta,3,3,130 m²,130m²,150m²,,Dormitorios en Suite: 1,Cochera: 1,Parrillero,losa radiante,Norte,2,Cocina Integrada,2024,Jardín,Acepta Mascotas,20m²,Propiedad Horizontal,virtual,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/165019-casa-en-venta-4-dormitorios-piscina-en-punta-gorda-ref-1721,U$S 685.000Venta,4,5,289 m²,268m²,811m²,,Dormitorios en Suite: 2,Cochera: 2,Parrillero,Radiadores,Este,2,Cocina Definida,1979,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/159162-casa-en-venta-de-2-dormitorios-en-tres-cruces-montevideo,U$S 119.000Venta,2,1,380 m²,62m²,380m²,,,,,,,,Cocina Definida,1960,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/133140-casa-en-venta-en-barrio-san-nicolas-3-dormitorios-servicio-ref-1627,U$S 1.780.000Venta,3,4,263 m²,263m²,1316m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Cochera: 3,Parrillero,Losa radiante eléctrica,,2,Cocina Definida,2006,Jardín,Acepta Mascotas,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/117530-casa-en-alquiler-y-venta-de-8-dormitorios-en-pocitos-montevideo,U$S 1.500.000Venta,8,5,,444m²,666m²,Dormitorios de Servicio: 1,,Garaje: 2,Parrillero,radiadores por gas,Norte,2,Cocina Definida,1928,Jardín,Acepta Mascotas,38m²,,rejas y alarma,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205399-venta-buceo-casa-3-dormitorios-gran-fondo-barbacoa-gge,U$S 370.000Venta,3,3,497 m²,195m²,497m²,,,Garaje: 1,,,,,Cocina Definida,1989,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204883-casa-en-venta-de-4-dormitorios-con-garage-en-carrasco-montevideo,U$S 380.000Venta,4,2,250 m²,180m²,250m²,,,Garaje: 1,,,,,Cocina Definida,1970,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186448-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 695.000Venta,4,4,,249m²,321m²,,Dormitorios en Suite: 1,Garaje: 2,Parrillero,,Este,2,Cocina Integrada,1927,Jardín,Acepta Mascotas,31m²,,Rejas alarma,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186450-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,20m²,,,Cochera: 0,Parrillero,,,2,,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204867-casa-en-venta-de-3-dormitorios-en-punta-gorda-montevideo,U$S 550.000Venta,3,5,480 m²,318m²,480m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 5,,,,,Cocina Definida,2015,Jardín,,,,,Piscina,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190634-venta-de-hermosa-casa-de-epoca-en-cordon,U$S 180.000Venta,4,2,170 m²,165m²,170m²,,,Garaje: 3,,,,,Cocina Definida,1942,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/207748-casa-ph-barrio-la-figurita,U$S 129.000Venta,3,2,94 m²,84m²,94m²,Dormitorios de Servicio: 1,,,,,,,Cocina Definida,1948,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,164m²,,,Garaje: 1,Parrillero,,,3,Cocina Integrada,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/200931-venta-casa-de-categoria-5-dormitorios-servicio-san-nicolas-ref-1884,ConsultarVenta,5,5,494 m²,494m²,1029m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 2,Cochera: 4,Parrillero,Losa radiante,,2,Cocina Definida,2016,Jardín,,,,Seguridad 24hs,Piscina,$U 15000,,,,,,,,
https://www.casasymas.com.uy/propiedad/169340-venta-de-divina-casa-ph-en-parque-rodo,U$S 280.000Venta,3,2,148 m²,148m²,,,,Garaje: 1,,,,,,1,,,148m²,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195148-casa-en-venta-de-4-dormitorios-con-garage-en-paso-molino-montevideo,U$S 250.000Venta,4,2,150 m²,135m²,150m²,,,Garaje: 1,,,,,Cocina Definida,1,Jardín,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/90237-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 203.400Venta,2,2,,60m²,,,,Cochera: 0,Parrillero,,,,,,Jardín,,,,,Piscina,,,,,,,,,
