url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero,Dormitorio
https://www.casasymas.com.uy/propiedad/163085-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-norte-montevideo,365000.0,3,3.0,156.0,112.0,156.0,1,1,Parrillero,Estufa alto rendimiento y Aires,Norte,Popiedad Horizontal,2.0,Cocina Definida,2025.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/156902-casa-en-venta-de-2-dormitorios-con-garage-en-jacinto-vera-montevideo,180000.0,2,1.0,171.0,121.0,50.0,0,1,,,Este,,,Cocina Definida,1960.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/53311-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,350000.0,3,3.0,1183.0,180.0,1183.0,1,0,,,,,,Cocina Definida,,,,,Piscina,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/190507-casa-en-venta-de-3-dormitorios-con-garage-en-sayago-montevideo,172000.0,3,2.0,498.0,150.0,498.0,0,1,Parrillero,,Oeste,,1.0,Cocina Definida,1943.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/183830-venta-casa-punta-gorda-3-dormitorios,490000.0,3,5.0,367.0,244.0,123.0,0,2,,,Oeste,,,Cocina Definida,,Jardín,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/176514-casa-en-venta-de-4-dormitorios-en-jardines-de-carrasco-montevideo,1900000.0,4,5.0,1690.0,350.0,,2,2,,Losa radiante,,,1.0,,2004.0,Jardín,Acepta Mascotas,,,24 horas del Barrio,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/118322-casa-en-venta-de-4-dormitorios-con-garage-en-jacinto-vera-montevideo,395000.0,4,6.0,633.0,304.0,633.0,0,1,,,Norte,,,Cocina Definida,1966.0,,,,,,Frente,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/125551-casa-en-venta-de-3-dormitorios-con-garage-en-parque-miramar-montevideo,275000.0,3,2.0,100.0,,,0,1,,Aire Acondicionado,,,,,,,,17000.0,,Vigilancia,Frente,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/128645-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,1750000.0,3,3.0,1050.0,363.0,1050.0,1,0,Parrillero,Losa Radiante Eléctrica,Norte,,2.0,Cocina Definida,2007.0,Jardín,Acepta Mascotas,,Piscina,Seguridad 24hs del Barrio San Nicolas,,63.0,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/188939-casa-en-venta-de-2-dormitorios-en-prado-montevideo,225000.0,2,2.0,130.0,130.0,,0,2,Parrillero,Hogar,,,2.0,Cocina Definida,,,,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,335000.0,4,2.0,137.0,137.0,164.0,0,1,Parrillero,,,,3.0,Cocina Integrada,,,Acepta Mascotas,,,,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/68868-casa-en-venta-de-4-dormitorios-con-garage-en-manga-montevideo,295000.0,4,2.0,632.0,121.0,511.0,0,1,,Aire acondicionado,,,,Cocina Definida,,Jardín,,,Piscina,,,,0,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/124059-casa-en-venta-de-2-dormitorios-con-garage-en-pocitos-nuevo-montevideo,250000.0,2,2.0,93.0,93.0,72.0,0,1,,,Oeste,,3.0,,,,,,,,,21.0,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/119384-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,135000.0,2,1.0,57.0,99.0,57.0,0,0,,,,,,Cocina Definida,,,,,,,,,0,,,,,,,2.0
https://www.casasymas.com.uy/propiedad/95759-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,705000.0,3,3.0,212.0,161.0,310.0,1,0,Parrillero,Estufa a leña - Calefacción,,,,Cocina Integrada,,Jardín,,,,24 horas,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/109270-venta-y-alquiler-casa-3-dormitorios-serv-punta-gorda-ciudad-de-guayaquil-en-la-mejor-calle,600000.0,3,3.0,300.0,300.0,480.0,0,1,Parrillero,,,,1.0,Cocina Definida,1993.0,,,,Piscina,,,,1,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/119487-casa-en-venta-de-3-dormitorios-en-buceo-montevideo,233000.0,3,2.0,96.0,106.0,96.0,1,0,,,,,,Cocina Definida,,,,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/124011-casa-en-venta-de-3-dormitorios-en-san-nicolas-montevideo,1400000.0,3,3.0,1193.0,220.0,1193.0,1,2,,,Norte,,,,1.0,,,650.0,Piscina,,,,1,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/185446-venta-en-exclusiva-casa-3-dormitorios-escritorio-o-consultorio-profesional-servicio-completo-en-punta-carretas,1200000.0,4,6.0,302.0,384.0,302.0,1,1,,,,,,Cocina Definida,,,,,,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/89923-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,398000.0,4,2.0,190.0,143.0,195.0,0,6,,,Este,,2.0,,,,,,,,Frente,,0,2.0,,,,,,4.0
https://www.casasymas.com.uy/propiedad/142877-venta-casa-de-3-dormitorios-punta-gorda-montevideo,580000.0,3,3.0,185.0,185.0,199.0,0,1,,,,,,,1.0,Jardín,,,,,Frente,185.0,0,1.0,Patio,,,,,3.0
https://www.casasymas.com.uy/propiedad/141074-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,278000.0,3,2.0,145.0,106.0,,1,1,Parrillero,,Este,,2.0,Cocina Integrada,1940.0,Jardín,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/188809-venta-de-casa-de-4-dormitorios-en-brazo-oriental,219000.0,4,2.0,420.0,106.0,420.0,0,0,,,Norte,,,Cocina Definida,,,,,,,Frente,420.0,0,1.0,Patio,,,,,4.0
https://www.casasymas.com.uy/propiedad/177316-casa-en-venta-de-4-dormitorios-en-prado-montevideo,850000.0,4,2.0,612.0,328.0,612.0,0,4,,,,,,Cocina Definida,1945.0,Jardín,Acepta Mascotas,,,,,,1,,,,,,,4.0
https://www.casasymas.com.uy/propiedad/1980-casa-en-venta-de-3-dormitorios-en-jardines-de-carrasco-montevideo,530000.0,3,3.0,,125.0,180.0,1,2,Parrillero,,,Popiedad Horizontal,2.0,Cocina Integrada,2023.0,Jardín,,,Piscina,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/90752-casa-en-venta-de-5-dormitorios-con-garage-en-punta-gorda-montevideo,649000.0,5,4.0,360.0,360.0,,1,1,Parrillero,,Norte,,2.0,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,0,,,,,,,5.0
https://www.casasymas.com.uy/propiedad/174089-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,360000.0,3,2.0,134.0,134.0,,0,1,,,Oeste,,,Cocina Definida,1972.0,,Acepta Mascotas,,,,,,0,,,,,,,3.0
https://www.casasymas.com.uy/propiedad/82127-vendo-casa-de-4-dormitorios-en-paso-molino,240000.0,4,3.0,390.0,302.0,390.0,0,4,Parrillero,,Este,,,Cocina Definida,1978.0,Jardín,,,,,,8.0,0,,,,,,,4.0
