url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Superficie Balcones,Garage,Parrillero,Orientación,Cocina,Año de Construcción,Jardín,Dormitorios Servicio,Calefacción,Acepta Mascotas,Piscina,Plantas,Seguridad,Disposición,Lavadero,Dormitorios Suite,Propiedad Horizontal,Muebles,Pisos Edificio,Altura,Aptos por piso,Gastos Comúnes,Patio,Piso
https://www.casasymas.com.uy/propiedad/82127-vendo-casa-de-4-dormitorios-en-paso-molino,U$S 240.000Venta,4,3,390 m²,302m²,390m²,8m²,Garaje: 4,Parrillero,Este,Cocina Definida,1978,Jardín,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/177316-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 850.000Venta,4,2,612 m²,328m²,612m²,,Garaje: 4,,,Cocina Definida,1945,Jardín,Dormitorios de Servicio: 1,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/194470-casa-en-venta-de-5-dormitorios-con-garage-en-centro-montevideo,U$S 267.000Venta,5,3,301 m²,174m²,,,Garaje: 1,,Este,Cocina Definida,1,,,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195384-casa-en-venta-de-2-dormitorios-en-la-teja-montevideo,U$S 215.000Venta,2,2,161 m²,90m²,451m²,,Cochera: 4,Parrillero,Este,Cocina Integrada,1937,,,esfufa alto rendimiento,Acepta Mascotas,Piscina,1,"rejas, alarma, cerca electrica",,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174669-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 395.000Venta,4,2,345 m²,185m²,160m²,,Garaje: 4,,Sur,Cocina Definida,1975,Jardín,,,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/178685-casa-en-venta-de-2-dormitorios-en-carrasco-montevideo,U$S 775.000Venta,2,2,300 m²,199m²,300m²,,,,Oeste,Cocina Definida,1956,,Dormitorios de Servicio: 1,,,,,,Frente,Lavadero,,,,,,,,,
https://www.casasymas.com.uy/propiedad/119384-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 135.000Venta,2,1,57 m²,99m²,57m²,,,,,Cocina Definida,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190507-casa-en-venta-de-3-dormitorios-con-garage-en-sayago-montevideo,U$S 172.000Venta,3,2,498 m²,150m²,498m²,,Garaje: 1,Parrillero,Oeste,Cocina Definida,1943,Jardín,,,Acepta Mascotas,,1,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128325-excelente-casa-de-altos-duplex-a-1-cuadra-del-shopping,U$S 175.000Venta,3,2,100 m²,100m²,,,,Parrillero,,Cocina Definida,1948,,,Hogar,Acepta Mascotas,,2,,,,Dormitorios en Suite: 1,Propiedad Horizontal,,,,,,,
https://www.casasymas.com.uy/propiedad/186448-casa-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 695.000Venta,4,4,,249m²,321m²,31m²,Garaje: 2,Parrillero,Este,Cocina Integrada,1927,Jardín,,,Acepta Mascotas,Piscina,2,Rejas alarma,,,Dormitorios en Suite: 1,,,,,,,,
