url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Garage,Año de Construcción,Superficie Terreno,Dormitorios Suite,Gastos Comúnes,Parrillero,Calefacción,Plantas,Cocina,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Orientación,Disposición,Propiedad Horizontal,Altura,Aptos por piso,Patio,Pisos Edificio,Muebles,Lavadero,Piso,Ascensor
https://www.casasymas.com.uy/propiedad/169340-venta-de-divina-casa-ph-en-parque-rodo,U$S 280.000Venta,3,2,148 m²,148m²,148m²,Garaje: 1,1,,,,,,,,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/15925-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,,Cochera: 0,2023,20m²,Dormitorios en Suite: 1,$U 4500,Parrillero,,2,Cocina Integrada,Cerca eléctrica,Jardín,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/182440-muy-buen-padron-en-carrasco-norte,U$S 410.000Venta,3,3,211 m²,211m²,,Garaje: 1,1967,525m²,Dormitorios en Suite: 1,,Parrillero,Tiro balanceado y estufa a leña,2,Cocina Integrada,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Este,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190634-venta-de-hermosa-casa-de-epoca-en-cordon,U$S 180.000Venta,4,2,170 m²,165m²,,Garaje: 3,1942,170m²,,,,,,Cocina Definida,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/205647-venta-casa-punta-gorda-3-dormitorios-rambla-frente-al-mar-y-molino-de-perez-unica,U$S 650.000Venta,3,4,260 m²,260m²,,Garaje: 2,,650m²,,,Parrillero,"Estufa a leña , Aire Acondicionado",1,Cocina Definida,,Jardín,,Dormitorios de Servicio: 1,Piscina,,Frente,Propiedad Horizontal,,,,,,,,
https://www.casasymas.com.uy/propiedad/186450-casa-en-venta-de-3-dormitorios-en-carrasco-norte-montevideo,U$S 380.000Venta,3,3,130 m²,110m²,,Cochera: 0,,20m²,,,Parrillero,,2,,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/195148-casa-en-venta-de-4-dormitorios-con-garage-en-paso-molino-montevideo,U$S 250.000Venta,4,2,150 m²,135m²,,Garaje: 1,1,150m²,,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,,,,,3m,1,,,,,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,,Garaje: 1,,164m²,,,Parrillero,,3,Cocina Integrada,,,Acepta Mascotas,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204883-casa-en-venta-de-4-dormitorios-con-garage-en-carrasco-montevideo,U$S 380.000Venta,4,2,250 m²,180m²,,Garaje: 1,1970,250m²,,,,,,Cocina Definida,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190147-hermosa-casa-3-dorm-reciclada,U$S 298.000Venta,3,3,230 m²,177m²,40m²,Garaje: 1,1958,230m²,,,Parrillero,Hogar,2,Cocina Definida,,Jardín,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/204771-casa-en-venta-de-4-dormitorios-en-pocitos-nuevo-montevideo,U$S 735.000Venta,4,3,336 m²,187m²,,Garaje: 2,1962,336m²,Dormitorios en Suite: 1,,,,,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,,,,,,,,
