url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Balcones,Dormitorios Servicio,Dormitorios Suite,Garage,Gastos Comúnes,Calefacción,Orientación,Disposición,Popiedad Horizontal,Piso,Cocina,Aptos por piso,Pisos Edificio,Seguridad,Ascensor,Acepta Mascotas,Año de Construcción,Plantas,Piscina,Parrillero,Muebles,Lavadero,Superficie Terreno,Altura,Jardín,Patio
https://www.casasymas.com.uy/propiedad/181878-venta-apartamento-4-dormitorios-frente-club-de-golf,U$S 850.000Venta,4,3,330 m²,330m²,10m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 2,$U 65000,,Oeste,Frente,Popiedad Horizontal,2,Cocina Definida,1,10,,Ascensor,Acepta Mascotas,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/198553-apartamento-en-venta-de-2-dormitorios-en-la-comercial-montevideo,U$S 115.000Venta,2,1,48 m²,47m²,1m²,,,,$U 3600,,Oeste,,Popiedad Horizontal,3,,,,,,,2009,,,,,,,,,
https://www.casasymas.com.uy/propiedad/144350-apartamento-en-venta-de-2-dormitorios-con-garage-en-parque-rodo-montevideo,U$S 175.000Venta,2,1,64.5 m²,52m²,6m²,,,Garaje: 1,UYU 6200,,Este,Frente,Popiedad Horizontal,,,,10,,,,,10,,,,,,,,
https://www.casasymas.com.uy/propiedad/162860-inverti-en-pocitos,U$S 140.200Venta,Monoambiente,1,42 m²,38m²,5m²,,,,,,Sur,Frente,,2,Cocina Integrada,11,18,,Ascensor,Acepta Mascotas,,,Piscina,Parrillero,Muebles,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/178847-apartamento-en-venta-de-4-dormitorios-en-pocitos-montevideo,U$S 765.000Venta,4,4,283 m²,253m²,,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 2,$U 49995,,,,,,Cocina Definida,1,,,,Acepta Mascotas,1985,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/173269-apartamento-en-venta-de-1-dormitorio-con-garage-en-centro-montevideo,U$S 130.000Venta,1,1,55 m²,,,,,Garaje: 1,,,,,,,Cocina Definida,4,,,,Acepta Mascotas,2024,,,,,,55m²,3m,,
https://www.casasymas.com.uy/propiedad/26440-apartamento-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 869.544Venta,3,3,515 m²,515m²,,,,Garaje: 2,,Estufa a leña,,,Popiedad Horizontal,,Cocina Definida,,,"Cámaras, portería virtual",,,,,Piscina,Parrillero,,Lavadero,,,Jardín,
https://www.casasymas.com.uy/propiedad/11485-apartamento-en-venta-de-1-dormitorio-en-carrasco-montevideo,U$S 202.000Venta,1,1,,38m²,5m²,,,,UYU 6500,,Norte,,,,Cocina Definida,,4,,,,2025,,Piscina,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/148465-apartamento-en-venta-de-1-dormitorio-con-garage-en-la-blanqueada-montevideo,U$S 127.000Venta,1,1,50 m²,46m²,,,,Garaje: 1,,,,Frente,,,Cocina Definida,16,10,,,,2026,,,,,,,,,
https://www.casasymas.com.uy/propiedad/193238-apartamento-en-venta-de-3-dormitorios-en-puerto-del-buceo-montevideo,U$S 495.000Venta,3,2,88 m²,88m²,,,Dormitorios en Suite: 1,Garaje: 2,$U 25000,,Oeste,Frente,Popiedad Horizontal,6,Cocina Definida,4,18,,Ascensor,,1999,,Piscina,Parrillero,,,,,Jardín,
https://www.casasymas.com.uy/propiedad/102853-apartamento-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 550.000Venta,4,2,230 m²,,14m²,,,Garaje: 1,$U 48000,Central por radiadores,,,,,Cocina Integrada,,,24 horas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/186376-apartamento-en-venta-de-2-dormitorios-con-garage-en-carrasco-montevideo,U$S 330.000Venta,2,2,81 m²,70m²,11m²,,Dormitorios en Suite: 1,Garaje: 1,UYU 18000,,Este,Frente,,,Cocina Definida,,,,,,,,Piscina,,,Lavadero,81m²,,,
https://www.casasymas.com.uy/propiedad/125966-apartamento-en-venta-de-3-dormitorios-en-tres-cruces-montevideo,U$S 120.000Venta,3,2,80 m²,80m²,,,,,UYU 5600,Aire acondicionado,Norte,Contrafrente,Popiedad Horizontal,1,Cocina Definida,2,7,ventana con rejas,Ascensor,Acepta Mascotas,1946,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/158779-apartamento-en-venta-de-3-dormitorios-con-garage-en-villa-biarritz-montevideo,U$S 395.000Venta,3,2,121 m²,110m²,,Dormitorios de Servicio: 1,Dormitorios en Suite: 1,Garaje: 1,$U 18860,,,,,,Cocina Definida,2,,,,Acepta Mascotas,1991,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/186868-apartamento-en-venta-monoambiente-en-pocitos-nuevo-montevideo,U$S 127.000Venta,Monoambiente,1,39 m²,37m²,,,,,UYU 3000,,,,,,Cocina Definida,5,,,,Acepta Mascotas,2021,,,,,Lavadero,39m²,3m,,
https://www.casasymas.com.uy/propiedad/82176-apartamento-en-venta-de-1-dormitorio-en-cordon-montevideo,U$S 126.000Venta,1,1,38 m²,38m²,,,,,$U 3500,,,,Popiedad Horizontal,,Cocina Definida,1,1,,Ascensor,,1973,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/141516-apartamento-en-venta-de-1-dormitorio-en-buceo-montevideo,U$S 108.000Venta,1,1,68 m²,,,,,,$U 1116,,,Interior,Popiedad Horizontal,Planta baja,Cocina Integrada,,,REJAS,,Acepta Mascotas,,,,,Muebles,,,,,Patio
https://www.casasymas.com.uy/propiedad/167369-apartamento-en-venta-de-1-dormitorio-en-tres-cruces-montevideo,U$S 115.000Venta,1,1,25 m²,,,,Dormitorios en Suite: 1,,UYU 4500,,,,,,Cocina Definida,1,,,,Acepta Mascotas,2010,,,,,,25m²,3m,,
https://www.casasymas.com.uy/propiedad/158787-apartamento-en-venta-de-2-dormitorios-con-garage-en-pocitos-montevideo,U$S 290.000Venta,2,2,75 m²,69m²,,,Dormitorios en Suite: 1,Garaje: 1,$U 14000,,,,,,Cocina Definida,2,,,,Acepta Mascotas,2013,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/194889-venta-de-apartamento-con-renta-1-dormitorio-parque-rodo,U$S 127.000Venta,1,1,44 m²,42m²,2m²,,,,$U 5000,,Oeste,Frente,Popiedad Horizontal,3,Cocina Definida,2,10,,Ascensor,Acepta Mascotas,1999,,,,,,,,,
https://www.casasymas.com.uy/propiedad/135384-apartamento-en-venta-de-2-dormitorios-en-union-montevideo,U$S 78.000Venta,2,1,80 m²,80m²,,,,,$U 1900,,Norte,Frente,,,Cocina Definida,,,,,Acepta Mascotas,2014,,,,,,,,Jardín,
https://www.casasymas.com.uy/propiedad/82564-venta-de-apartamento-3-dormitorios-en-buceo-cosmos-home,U$S 552.700Venta,3,2,125 m²,88m²,125m²,,,,,,,,,,Cocina Definida,,1,,Ascensor,,,,,,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/176478-apartamento-de-dos-dormitorios-en-venta-en-punta-carretas-con-garaje-y-equipado,U$S 339.000Venta,2,2,75 m²,75m²,5m²,,,Garaje: 1,,,Sur,Frente,Popiedad Horizontal,4,,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174706-apartamento-en-venta-de-3-dormitorios-en-villa-biarritz-montevideo,U$S 335.000Venta,3,3,130 m²,120m²,,,,,UYU 17000,,Sur,Frente,,,Cocina Definida,,,,,Acepta Mascotas,1,,,,,,10m²,,,
https://www.casasymas.com.uy/propiedad/174264-venta-apartamento-pocitos,U$S 795.000Venta,3,5,260 m²,260m²,10m²,Dormitorios de Servicio: 1,Dormitorios en Suite: 3,Garaje: 2,,bomba de calor central,Este,Frente,,5,Cocina Definida,1,10,spoter,Ascensor,Acepta Mascotas,,,,,,Lavadero,,,Jardín,
https://www.casasymas.com.uy/propiedad/200263-apartamento-en-venta-de-3-dormitorios-con-garage-en-golf-montevideo,U$S 650.000Venta,3,3,143 m²,143m²,,,Dormitorios en Suite: 1,Garaje: 1,$U 17140,,,,,,Cocina Definida,1,,,,Acepta Mascotas,1969,,,,,Lavadero,,,,
