url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Orientación,Popiedad Horizontal,Plantas,Cocina,Año de Construcción,Jardín,Acepta Mascotas,Gastos Comúnes,Piscina,Seguridad,Disposición,Superficie Balcones,Dormitorios Servicio,Pisos Edificio,Patio,Muebles,Altura,Aptos por piso,Lavadero
https://www.casasymas.com.uy/propiedad/163085-casa-en-venta-de-3-dormitorios-con-garage-en-carrasco-norte-montevideo,U$S 365.000Venta,3,3,156 m²,112m²,156m²,Dormitorios en Suite: 1,Cochera: 1,Parrillero,Estufa alto rendimiento y Aires,Norte,Popiedad Horizontal,2,Cocina Definida,2025,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/156902-casa-en-venta-de-2-dormitorios-con-garage-en-jacinto-vera-montevideo,U$S 180.000Venta,2,1,171 m²,121m²,50m²,,Garaje: 1,,,Este,,,Cocina Definida,1960,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/53311-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 350.000Venta,3,3,1183 m²,180m²,1183m²,Dormitorios en Suite: 1,,,,,,,Cocina Definida,,,,$U 11000,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/190507-casa-en-venta-de-3-dormitorios-con-garage-en-sayago-montevideo,U$S 172.000Venta,3,2,498 m²,150m²,498m²,,Garaje: 1,Parrillero,,Oeste,,1,Cocina Definida,1943,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183830-venta-casa-punta-gorda-3-dormitorios,U$S 490.000Venta,3,5,367 m²,244m²,123m²,,Garaje: 2,,,Oeste,,,Cocina Definida,,Jardín,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/176514-casa-en-venta-de-4-dormitorios-en-jardines-de-carrasco-montevideo,U$S 1.900.000Venta,4,5,1690 m²,350m²,,Dormitorios en Suite: 2,Cochera: 2,,Losa radiante,,,1,,2004,Jardín,Acepta Mascotas,$U 13000,,24 horas del Barrio,,,,,,,,,
https://www.casasymas.com.uy/propiedad/118322-casa-en-venta-de-4-dormitorios-con-garage-en-jacinto-vera-montevideo,U$S 395.000Venta,4,6,633 m²,304m²,633m²,,Garaje: 1,,,Norte,,,Cocina Definida,1966,,,,,,Frente,,,,,,,,
https://www.casasymas.com.uy/propiedad/125551-casa-en-venta-de-3-dormitorios-con-garage-en-parque-miramar-montevideo,U$S 275.000Venta,3,2,100 m²,,,,Garaje: 1,,Aire Acondicionado,,,,,,,,UYU 17000,,Vigilancia,Frente,,,,,,,,
https://www.casasymas.com.uy/propiedad/128645-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 1.750.000Venta,3,3,1050 m²,363m²,1050m²,Dormitorios en Suite: 1,,Parrillero,Losa Radiante Eléctrica,Norte,,2,Cocina Definida,2007,Jardín,Acepta Mascotas,,Piscina,Seguridad 24hs del Barrio San Nicolas,,63m²,,,,,,,
https://www.casasymas.com.uy/propiedad/188939-casa-en-venta-de-2-dormitorios-en-prado-montevideo,U$S 225.000Venta,2,2,130 m²,130m²,,,Cochera: 2,Parrillero,Hogar,,,2,Cocina Definida,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/179495-casa-en-venta-de-4-dormitorios-con-garage-en-pocitos-montevideo,U$S 335.000Venta,4,2,137 m²,137m²,164m²,,Garaje: 1,Parrillero,,,,3,Cocina Integrada,,,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/68868-casa-en-venta-de-4-dormitorios-con-garage-en-manga-montevideo,U$S 295.000Venta,4,2,632 m²,121m²,511m²,,Garaje: 1,,Aire acondicionado,,,,Cocina Definida,,Jardín,,,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/124059-casa-en-venta-de-2-dormitorios-con-garage-en-pocitos-nuevo-montevideo,U$S 250.000Venta,2,2,93 m²,93m²,72m²,,Garaje: 1,,,Oeste,,3,,,,,,,,,21m²,,,,,,,
https://www.casasymas.com.uy/propiedad/119384-casa-en-venta-de-2-dormitorios-en-cordon-montevideo,U$S 135.000Venta,2,1,57 m²,99m²,57m²,,,,,,,,Cocina Definida,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/95759-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 705.000Venta,3,3,212 m²,161m²,310m²,Dormitorios en Suite: 1,,Parrillero,Estufa a leña - Calefacción,,,,Cocina Integrada,,Jardín,,,,24 horas,,,,,,,,,
https://www.casasymas.com.uy/propiedad/109270-venta-y-alquiler-casa-3-dormitorios-serv-punta-gorda-ciudad-de-guayaquil-en-la-mejor-calle,U$S 600.000Venta,3,3,300 m²,300m²,480m²,,Garaje: 1,Parrillero,,,,1,Cocina Definida,1993,,,,Piscina,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/119487-casa-en-venta-de-3-dormitorios-en-buceo-montevideo,U$S 233.000Venta,3,2,96 m²,106m²,96m²,Dormitorios en Suite: 1,,,,,,,Cocina Definida,,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/124011-casa-en-venta-de-3-dormitorios-en-san-nicolas-montevideo,U$S 1.400.000Venta,3,3,1193 m²,220m²,1193m²,Dormitorios en Suite: 1,Garaje: 2,,,Norte,,,,1,,,U$S 650,Piscina,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/185446-venta-en-exclusiva-casa-3-dormitorios-escritorio-o-consultorio-profesional-servicio-completo-en-punta-carretas,U$S 1.200.000Venta,4,6,302 m²,384m²,302m²,Dormitorios en Suite: 1,Garaje: 1,,,,,,Cocina Definida,,,,,,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/89923-casa-en-venta-de-4-dormitorios-en-punta-gorda-montevideo,U$S 398.000Venta,4,2,190 m²,143m²,195m²,,Garaje: 6,,,Este,,2,,,,,,,,Frente,,,2,,,,,
https://www.casasymas.com.uy/propiedad/142877-venta-casa-de-3-dormitorios-punta-gorda-montevideo,U$S 580.000Venta,3,3,185 m²,185m²,199m²,,Garaje: 1,,,,,,,1,Jardín,,,,,Frente,185m²,,1,Patio,,,,
https://www.casasymas.com.uy/propiedad/141074-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 278.000Venta,3,2,145 m²,106m²,,Dormitorios en Suite: 1,Garaje: 1,Parrillero,,Este,,2,Cocina Integrada,1940,Jardín,Acepta Mascotas,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/188809-venta-de-casa-de-4-dormitorios-en-brazo-oriental,U$S 219.000Venta,4,2,420 m²,106m²,420m²,,,,,Norte,,,Cocina Definida,,,,,,,Frente,420m²,,1,Patio,,,,
https://www.casasymas.com.uy/propiedad/177316-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 850.000Venta,4,2,612 m²,328m²,612m²,,Garaje: 4,,,,,,Cocina Definida,1945,Jardín,Acepta Mascotas,,,,,,Dormitorios de Servicio: 1,,,,,,
https://www.casasymas.com.uy/propiedad/1980-casa-en-venta-de-3-dormitorios-en-jardines-de-carrasco-montevideo,U$S 530.000Venta,3,3,,125m²,180m²,Dormitorios en Suite: 1,Cochera: 2,Parrillero,,,Popiedad Horizontal,2,Cocina Integrada,2023,Jardín,,$U 10000,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/90752-casa-en-venta-de-5-dormitorios-con-garage-en-punta-gorda-montevideo,U$S 649.000Venta,5,4,360 m²,360m²,,Dormitorios en Suite: 1,Garaje: 1,Parrillero,,Norte,,2,Cocina Definida,,Jardín,Acepta Mascotas,,Piscina,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174089-casa-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo,U$S 360.000Venta,3,2,134 m²,134m²,,,Garaje: 1,,,Oeste,,,Cocina Definida,1972,,Acepta Mascotas,,,,,,,,,,,,
