url,precio,Dormitorios,Baños,Superficie,Superficie Construida,Superficie Terreno,Dormitorios Suite,Garage,Parrillero,Calefacción,Muebles,Orientación,Plantas,Año de Construcción,Seguridad,Jardín,Acepta Mascotas,Dormitorios Servicio,Piscina,Cocina,Popiedad Horizontal,Gastos Comúnes,Patio,Superficie Balcones,Disposición,Pisos Edificio,Lavadero,Altura,Aptos por piso,Ascensor,Piso
https://www.casasymas.com.uy/propiedad/107320-casa-en-alquiler-y-venta-de-3-dormitorios-en-montoya-maldonado,U$S 360.000Venta,3,3,200 m²,200m²,650m²,Dormitorios en Suite: 1,Cochera: 0,Parrillero,Estufa a leña y Aire Acondicionado,Muebles,Sur,2,2005,Alarma y Cámaras,Jardín,Acepta Mascotas,,,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/109270-venta-y-alquiler-casa-3-dormitorios-serv-punta-gorda-ciudad-de-guayaquil-en-la-mejor-calle,U$S 600.000Venta,3,3,300 m²,300m²,480m²,,Garaje: 1,Parrillero,,,,1,1993,,,,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/53906-casa-en-venta-de-3-dormitorios-en-lomas-de-la-tahona-canelones,U$S 750.000Venta,3,4,,270m²,1300m²,Dormitorios en Suite: 1,Garaje: 4,Parrillero,losa eléctricaica,,Norte,2,2008,,,,,,Cocina Integrada,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/72905-casa-en-venta-de-2-dormitorios-con-garage-en-la-paloma-rocha,U$S 195.000Venta,2,2,,92m²,525m²,,Garaje: 1,Parrillero,Estufa a Leña,,Este,1,2011,,Jardín,,,,Cocina Integrada,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/123654-venta-casa-pocitos-4-dormitorios,U$S 420.000Venta,3,2,110 m²,90m²,,,Garaje: 2,,,,Norte,1,1965,,Jardín,Acepta Mascotas,,,Cocina Definida,Popiedad Horizontal,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183832-venta-casa-parque-rivera,U$S 145.000Venta,3,2,221 m²,68m²,153m²,,,,,,Norte,,,,Jardín,,,,Cocina Definida,,UYU 2000,Patio,,,,,,,,
https://www.casasymas.com.uy/propiedad/134193-venta-casa-de-3-dormitorios-la-tahona-canelones,U$S 895.000Venta,3,4,427 m²,427m²,1182m²,,Garaje: 2,,,,Sur,,1,,Jardín,,,Piscina,,,UYU 20000,,427m²,Frente,1,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/107333-casa-en-venta-de-4-dormitorios-en-rocha-rocha,U$S 2.900.000Venta,4,6,,522m²,2680m²,Dormitorios en Suite: 4,,Parrillero,,,,,2022,Barrio privado,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Cocina Definida,,U$S 600,,100m²,,,,,,,
https://www.casasymas.com.uy/propiedad/153425-casa-en-venta-de-5-dormitorios-en-atlantida-canelones,U$S 332.000Venta,5,3,656 m²,212m²,,,Cochera: 3,Parrillero,,Muebles,,2,2004,,Jardín,,,Piscina,Cocina Integrada,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128645-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 1.750.000Venta,3,3,1050 m²,363m²,1050m²,Dormitorios en Suite: 1,,Parrillero,Losa Radiante Eléctrica,,Norte,2,2007,Seguridad 24hs del Barrio San Nicolas,Jardín,Acepta Mascotas,,Piscina,Cocina Definida,,,,63m²,,,,,,,
https://www.casasymas.com.uy/propiedad/174013-venta-casa-centro,U$S 111.000Venta,3,1,90 m²,90m²,90m²,,,,estufa,,Norte,1,1940,Puerta Blindada,,Acepta Mascotas,,,Cocina Integrada,Popiedad Horizontal,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/76502-casa-en-venta-de-3-dormitorios-en-sayago-montevideo,U$S 130.000Venta,3,1,564 m²,82m²,564m²,,Garaje: 2,Parrillero,Estufa a leña,,Norte,,,Rejas,,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/149583-casa-en-venta-de-3-dormitorios-con-garage-en-colonia-del-sacramento-colonia,U$S 480.000Venta,3,2,215 m²,215m²,1000m²,,Garaje: 1,,,,Este,1,,,,,,Piscina,,,UYU 4100,,45m²,Frente,1,,,,,
https://www.casasymas.com.uy/propiedad/168585-oportunidad-gran-terreno-en-esquina-sobre-av-italia,U$S 640.000Venta,4,2,238 m²,218m²,899m²,,Garaje: 2,,Aire Acondicionado y hogar,,Oeste,1,1959,CCTV,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/150898-casa-en-venta-de-4-dormitorios-con-garage-en-buceo-montevideo,U$S 345.000Venta,4,2,139 m²,154m²,139m²,,Garaje: 1,Parrillero,estufa a leña y aire acondicionado,,Este,3,1950,Alarma,,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/113516-casa-en-venta-de-5-dormitorios-en-parque-burnett-maldonado,U$S 385.000Venta,5,5,1732 m²,269m²,1732m²,Dormitorios en Suite: 3,Cochera: 3,Parrillero,Aire Acondicionado,,Norte,2,1997,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183425-casa-en-venta-de-3-dormitorios-en-carrasco-montevideo,U$S 380.000Venta,3,2,200 m²,109m²,200m²,Dormitorios en Suite: 1,,,,,,,1,,,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/198329-casa-en-venta-de-4-dormitorios-en-carrasco-norte-montevideo,U$S 780.000Venta,4,,283 m²,283m²,697m²,,,,,,Sur,,1970,,,Acepta Mascotas,,,,,,,283m²,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/150840-casa-en-venta-de-3-dormitorios-en-el-pinar-canelones,U$S 415.000Venta,3,3,782 m²,145m²,,,,,a leña,,,,1998,,,,,Piscina,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/183831-venta-casa-carrasco,U$S 435.000Venta,3,2,184 m²,139m²,45m²,,,,,,Norte,,,,Jardín,,,Piscina,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174906-casa-en-venta-de-4-dormitorios-con-garage-en-altos-de-la-tahona-canelones,U$S 840.000Venta,4,6,1040 m²,352m²,1040m²,Dormitorios en Suite: 3,Garaje: 1,,,,Oeste,,,,,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,UYU 16800,,,Frente,,Lavadero,,,,
https://www.casasymas.com.uy/propiedad/129840-casa-en-venta-de-5-dormitorios-en-carrasco-montevideo,U$S 2.300.000Venta,5,6,,575m²,2696m²,Dormitorios en Suite: 3,Garaje: 0,Parrillero,Calefacción a gas,,Norte,2,1960,Alarma y Cámaras,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,Piscina,,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/194402-casa-en-venta-de-3-dormitorios-en-altos-de-la-tahona-canelones,U$S 690.000Venta,3,4,254 m²,210m²,1267m²,Dormitorios en Suite: 1,,Parrillero,loza radiante eléctrica,,Norte,2,,,Jardín,,Dormitorios de Servicio: 1,Piscina,Cocina Definida,,$U 15000,,44m²,,,,,,,
https://www.casasymas.com.uy/propiedad/142090-casa-en-venta-de-3-dormitorios-con-garage-en-malvin-montevideo,U$S 470.000Venta,3,3,264 m²,167m²,,,Cochera: 1,,,,Este,2,1954,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/128843-casa-en-venta-de-3-dormitorios-en-lomas-de-la-tahona-canelones,U$S 620.000Venta,3,4,1100 m²,240m²,,Dormitorios en Suite: 1,Garaje: 2,Parrillero,,,,,,,Jardín,Acepta Mascotas,Dormitorios de Servicio: 1,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/170415-casa-en-venta-de-2-dormitorios-en-piriapolis-maldonado,U$S 108.000Venta,2,1,227 m²,65m²,227m²,,,,,,,,,,,,,,Cocina Definida,,,,,Frente,,,,,,
https://www.casasymas.com.uy/propiedad/169949-casa-en-venta-de-3-dormitorios-en-punta-colorada-maldonado,U$S 238.000Venta,3,3,280 m²,135m²,280m²,,,,,,,,2015,,,,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/174669-casa-en-venta-de-4-dormitorios-en-prado-montevideo,U$S 395.000Venta,4,2,345 m²,185m²,160m²,,Garaje: 4,,,,Sur,,1975,,Jardín,Acepta Mascotas,,,Cocina Definida,,,,,,,,,,,
https://www.casasymas.com.uy/propiedad/194332-casa-en-venta-en-palermo-montevideo,U$S 187.000Venta,Monoambiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
